Index,Date,Title,Outlets,Country,NATO_url
8,17.04.2018,The West destabilises Armenia to weaken Russia in Syria,politnavigator.net,"Armenia, Russia, Syria",https://euvsdisinfo.eu/report/the-west-destabilises-armenia-to-weaken-russia-in-syria/
9,17.04.2018,The UN issues an order in Georgia to sexualise five-year-old children,Geworld.ge,Georgia,https://euvsdisinfo.eu/report/the-un-issues-an-order-in-georgia-to-sexualise-five-year-old-children/
0,17.04.2018,Ukraine to become nuclear waste dump,Novostnoye Agentstvo Kharkov,Ukraine,https://euvsdisinfo.eu/report/ukraine-to-become-nuclear-waste-dump/
1,17.04.2018,Patriarch Kirill and the Pope issued a joint statement on the situation in Syria,RT,"Vatican, Russia, Syria",https://euvsdisinfo.eu/report/patriarch-kirill-and-the-pope-issued-a-joint-statement-on-the-situation-in-syria/
2,16.04.2018,The White Helmets fabricated Douma chemical attack when the UK theory about the alleged chemical attack in Salisbury started to fall apart,"Vecher s Vladimirom Solovyovym @Rossiya 1, 22:50","UK, Syria",https://euvsdisinfo.eu/report/the-white-helmets-fabricated-douma-chemical-attack-when-the-uk-theory-about-the-alleged-chemical-attack-in-salisbury-started-to-fall-apart/
3,16.04.2018,EU support for Russian civil society is a provocation,"Eurozona @ state-owned Vesti FM radio, 26:03, 32:10",Russia,https://euvsdisinfo.eu/report/eu-support-for-russian-civil-society-is-a-provocation/
4,16.04.2018,Lack of coordination with the U.N. Secretariat’s security department led to delay for OPCW inspectors arrival in Douma,Russia’s Deputy Foreign Minister Sergei Ryabkov in TASS,"Russia, Syria",https://euvsdisinfo.eu/report/lack-of-coordination-with-the-u-n-secretariats-security-department-led-to-delay-for-opcw-inspectors-arrival-in-douma/
5,16.04.2018,Georgian trace may be found in the case of poisoning ex-GRU colonel Sergei Skripal in Great Britain,Sakinform,"UK, Russia, US, Georgia",https://euvsdisinfo.eu/report/georgian-trace-may-be-found-in-the-case-of-poisoning-ex-gru-colonel-sergei-skripal-in-the-great-britain/
6,16.04.2018,Sergey and Julia Skripal were not poisoned by Novichok but by a different gas called BZ,svobodnenoviny.eu,"Switzerland, UK, Russia, US",https://euvsdisinfo.eu/report/sergey-and-julia-skripal-were-not-poisoned-by-novichok-but-by-a-different-gas-called-bz/
7,16.04.2018,Plans for ethnic cleansing in Latvia,Facebook post,"Latvia, US",https://euvsdisinfo.eu/report/plans-for-ethnic-cleansing-in-latvia/
8,15.04.2018,"Skripal poisoning and Syria bombing a ""Big Anglo-Saxon provocation""","Vesti Nedeli s Dmitriem Kiselyovym @Rossiya 1, 00:00:00, 00:14.00, 1:12.00","UK, Russia, Syria",https://euvsdisinfo.eu/report/skripal-poisoning-and-syria-bombing-a-big-anglo-saxon-provocation/
9,15.04.2018,Russian Spring: Civil war was unleashed in East of Ukraine by little Nazis in Kyiv after a coup,"Vesti Nedeli s Dmitriem Kiselyovym @Rossiya 1, 1:31:50","Russia, Ukraine",https://euvsdisinfo.eu/report/russian-spring-civil-war-was-unleashed-in-east-of-ukraine-by-little-nazis-in-kyiv-after-a-coup/
0,15.04.2018,Everyone knows that Syria has no chemical weapons,"Voskresnoye Vremya @Channel 1, 7:50","Russia, Syria",https://euvsdisinfo.eu/report/everyone-knows-that-syria-has-no-chemical-weapons/
1,15.04.2018,There were no patients with chemical poisoning in Douma,"Voskresnoye Vremya @Channel One, 18:03",Syria,https://euvsdisinfo.eu/report/there-were-no-patients-with-chemical-poisoning-in-douma/
2,15.04.2018,Maybe Skripals were not poisoned at all,"Voskreasnoe Vremya @Channel 1, 00:00:34",UK,https://euvsdisinfo.eu/report/maybe-skripals-were-not-poisoned-at-all/
3,15.04.2018,"Skripal poisoning was staged by the British themselves, the aim is to divert attention from ""unsuccessful Brexit talks""",Voskresnoye Vremya @Channel One,UK,https://euvsdisinfo.eu/report/skripal-poisoning-was-staged-by-the-british-themselves-the-aim-is-to-divert-attention-from-unsuccessful-brexit-talks/
4,15.04.2018,"Syria's chemical weapons ""were created by the British, even after sanctions had been imposed on Assad""","Itogi Nedeli @NTV, 12:00","UK, Syria",https://euvsdisinfo.eu/report/syrias-chemical-weapons-were-created-by-the-british-even-after-sanctions-had-been-imposed-on-assad/
5,15.04.2018,The OPCW could have been provided with a false sample in Skripal poisoning,"Itogi Nedeli @NTV, 20:00","UK, Russia",https://euvsdisinfo.eu/report/the-opcw-could-have-been-provided-with-a-false-sample-in-skripal-poisoning/
6,15.04.2018,White Helmets are the classic propaganda action of the US-UK-Israel coalition,http://ac24.cz,"Israel, UK, US, Syria",https://euvsdisinfo.eu/report/white-helmets-are-the-classic-propaganda-action-of-the-us-uk-israel-coalition/
7,14.04.2018,A NATO toxin was used for the poisoning of Skripal,Russia's Foreign Minister in Russia Today,"Switzerland, UK, Russia",https://euvsdisinfo.eu/report/a-nato-weapon-was-used-for-the-poisoning-of-skripal/
8,14.04.2018,The missile attack on Syria was launched to obstruct the work of the OPCW inspectors,Russian Ministry of Foreign Affairs in RT,"UK, Russia, US, Syria, France",https://euvsdisinfo.eu/report/the-missile-attack-on-syria-was-launched-to-obstruct-the-work-of-the-opcw-inspectors/
9,13.04.2018,"Syria 'chemical attack' staged to provoke US airstrike, London pushed perpetrators",The Russian Defense Ministry in RT,"UK, Syria",https://euvsdisinfo.eu/report/syria-chemical-attack-staged-to-provoke-us-airstrike-london-pushed-perpetrators/
0,13.04.2018,London behind staged chemical attack in Syria,"Vesti @Rossiya 1, 00:00","UK, Syria",https://euvsdisinfo.eu/report/london-behind-staged-chemical-attack-in-syria/
1,13.04.2018,"The White Helmets have faked images of chemical attack in Douma, just like in Khan Sheikhoun a year ago",TV Zvezda,Syria,https://euvsdisinfo.eu/report/the-white-helmets-have-faked-images-of-chemical-attack-in-douma-just-like-in-khan-sheikhoun-a-year-ago/
2,12.04.2018,The OPCW was unable to establish the origin of the nerve agent used in the Skripal attack,Life.ru,"UK, Russia",https://euvsdisinfo.eu/report/the-opcw-was-unable-to-establish-the-origin-of-the-nerve-agent-used-in-the-skripal-attack/
3,11.04.2018,Russia backs objective probe into chemical weapons attacks,Kremlin Spokesman Dmitry Peskov in TASS,"Russia, Syria",https://euvsdisinfo.eu/report/russia-backs-objective-probe-into-chemical-weapons-attacks/
4,11.04.2018,"Board of directors of Finnish energy company Fortum: Chairman is the Minister of Defence, and one of the members represents Finnish political police","Rossiiskaya Gazeta, rg.ru","Russia, Finland",https://euvsdisinfo.eu/report/board-of-directors-of-finnish-fortum-chairman-is-the-minister-of-defence-and-one-of-the-members-represents-finnish-political-police/
5,11.04.2018,Only 51 Moldovans regained Romanian citizenship in 2016,Sputnik Moldova,"Romania, Moldova",https://euvsdisinfo.eu/report/only-51-moldovans-regained-the-romanian-citizenship-in-2016/
6,11.04.2018,Douma doctors confirm that there was no chemical attack,http://svobodnenoviny.eu,"Russia, Syria",https://euvsdisinfo.eu/report/douma-doctors-confirm-that-there-was-no-chemical-attack-there/
7,10.04.2018,Footage about chemical weapons use in Douma is staged with the aim to distract the audience from the lack of clarity in the Skripal case,"NTV, Tass, others",Syria,https://euvsdisinfo.eu/report/footage-about-chemical-weapons-use-in-douma-is-staged-with-the-aim-to-distract-the-audience-from-the-lack-of-clarity-in-the-skripal-case/
8,10.04.2018,The White Helmets ready to kill children for a realistic picture,"Vesti @Rossiya 1, 00:07",Syria,https://euvsdisinfo.eu/report/the-white-helmets-may-kill-children-for-a-realistic-picture/
9,10.04.2018,There was no chemical attack in the Syrian city of Douma,http://ac24.cz,"Russia, Syria",https://euvsdisinfo.eu/report/there-was-no-chemical-attack-in-the-syrian-city-of-duma/
0,10.04.2018,Yulia Skripal was kidnapped by the British secret service,aeronet.cz,"UK, Russia",https://euvsdisinfo.eu/report/yulia-skripal-was-kidnapped-by-british-secret-service/
1,09.04.2018,Photos of victims posted by the White Helmets are fake,Russia Today,"Russia, Syria",https://euvsdisinfo.eu/report/photos-of-victims-posted-by-the-white-helmets-are-fake/
2,09.04.2018,White Helmets are the Islamic State's fire brigade,"60 minut @Rossiya 1, 00:01, 00:29",Syria,https://euvsdisinfo.eu/report/white-helmets-are-the-islamic-states-fire-brigade/
3,09.04.2018,The alleged chemical attack in Douma is a fabricated story,Tass,"Russia, Syria",https://euvsdisinfo.eu/report/the-alleged-chemical-attack-in-douma-is-a-fabricated-story/
4,09.04.2018,"The White Helmets were ordered by the British government to fake a chemical attack, as proved by video",Vesti @Rossiya 1,"UK, Russia, Syria",https://euvsdisinfo.eu/report/the-white-helmets-were-ordered-by-the-british-government-to-fake-a-chemical-attack-as-proved-by-video/
5,08.04.2018,Reports on a chemical attack carried out by the Syrian government forces in Douma are fake news,Tass,Syria,https://euvsdisinfo.eu/report/reports-on-a-chemical-attack-carried-out-by-they-syrian-government-forces-in-douma-are-fake-news/
6,06.04.2018,"EU plans to destroy vineyards in Romania, the next one will be Republic of Moldova",Moldavskie Vedomosti,"Romania, Moldova",https://euvsdisinfo.eu/report/eu-plans-to-destroy-vineyards-in-romania-the-next-one-will-be-republic-of-moldova/
7,05.04.2018,The Czech Republic has violated human rights and international conventions by handing over alleged hacker Evgenij Nikulin to the US,aeronet.cz,"Czech Republic, Russia",https://euvsdisinfo.eu/report/the-czech-republic-has-violated-human-rights-and-international-conventions-by-issuing-alleged-hacker-evgenij-nikulin-to-the-us/
8,04.04.2018,The Skripal case could be a provocation to justify NATO´s military budget increase,http://www.prvnizpravy.cz,"UK, Russia",https://euvsdisinfo.eu/report/the-skripals-case-could-be-a-provocation-to-justify-natos-military-budget-increase/
9,04.04.2018,Skripal poisoning was provocation by the US,Georgia and the World,US,https://euvsdisinfo.eu/report/skripal-poisoning-was-provocation-by-the-us/
0,02.04.2018,Mein Kampf is more popular than Harry Potter in Latvia,TV Zvezda,Latvia,https://euvsdisinfo.eu/report/mein-kampf-is-more-popular-than-harry-potter-in-latvia/
1,02.04.2018,Mein Kampf is more popular than Harry Potter in Latvia,Sputnik,Latvia,https://euvsdisinfo.eu/report/mein-kampf-is-more-popular-than-harry-potter-in-latvia-2/
2,01.04.2018,The provocation in Salisbury gave the last argument to exclude Russia from the discussion on chemical problems in Syria,‘Pyatyi kanal’ TV channel (in Russian: ‘The Fifth channel’ / «Пятый канал»),"UK, Syria",https://euvsdisinfo.eu/report/the-west-has-poisoned-sergei-skripal-and-his-daughter-to-exclude-russia-from-the-discussions-on-chemical-weapons-in-syria/
3,01.04.2018,"UK accusing Russia on poisoning Sergei Skripal and his daughter is Goebbels propaganda, nobody believes it",‘Pyatyi kanal’ TV channel,"UK, Russia",https://euvsdisinfo.eu/report/in-fact-nobody-in-the-world-believes-london-arguing-that-russia-poisoned-sergei-skripal-and-his-daughter/
4,31.03.2018,Finns found a Ukrainian trace in the case of Skripal,Newsme.com,"UK, Russia, Ukraine",https://euvsdisinfo.eu/report/finns-found-a-ukrainian-trace-in-the-case-of-skripal/
